Data Name,Data Name Link,Data Source,Data Source Link
"Unemployment, general level (Thousands)",https://data.un.org/Data.aspx?q=africa&d=LABORSTA&f=tableCode%3a3A%3bcountryCode%3aZA,LABORSTA,javascript:;
"Total employment, by economic activity (Thousands)",https://data.un.org/Data.aspx?q=africa&d=LABORSTA&f=tableCode%3a2B%3bcountryCode%3aZA,LABORSTA,javascript:;
Wholesale prices,https://data.un.org/Data.aspx?q=africa&d=IFS&f=SeriesCode%3a63%3bCountryCode%3a199,International Financial Statistics,javascript:;
"Consumer prices, general indices (2000=100)",https://data.un.org/Data.aspx?q=africa&d=LABORSTA&f=tableCode%3a7A%3bcountryCode%3aZA,LABORSTA,javascript:;
"Consumer prices, food indices (2000=100)",https://data.un.org/Data.aspx?q=africa&d=LABORSTA&f=tableCode%3a7C%3bcountryCode%3aZA,LABORSTA,javascript:;
"Chemical wood pulp, sulphate, bleached",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1663%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Sawlogs and veneer logs, coniferous",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1601%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Woven woolen fabrics,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a26500-1%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Woven fabrics of cotton,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a26600-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Hardboard,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1647%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Prevalence of severe food insecurity in the female adult population (percent) (3-year average),https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a210401F%3bcountryCode%3a202%2c420%2c429%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105%2c5308%2c5810,FAOSTAT,javascript:;
Number of women of reproductive age (15-49 years) affected by anemia (million),https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a210430%3bcountryCode%3a202%2c420%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105%2c5308,FAOSTAT,javascript:;
"Trade of goods, US$, HS, All Commodities",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a1%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Balance of payments - current account,https://data.un.org/Data.aspx?q=africa&d=IFS&f=SeriesCode%3a78%3bCountryCode%3a199,International Financial Statistics,javascript:;
Interest rates,https://data.un.org/Data.aspx?q=africa&d=IFS&f=SeriesCode%3a60%3bCountryCode%3a199,International Financial Statistics,javascript:;
Reserves,https://data.un.org/Data.aspx?q=africa&d=IFS&f=SeriesCode%3a.1%3bCountryCode%3a199%2c605%2c639%2c752,International Financial Statistics,javascript:;
Exchange rates,https://data.un.org/Data.aspx?q=africa&d=IFS&f=SeriesCode%3a..%3bCountryCode%3a199,International Financial Statistics,javascript:;
"Net financial flows, IMF concessional (NFL, current US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.NFL.IMFC.CD%3bCountry_Code%3aMNA%2cSSA,World Development Indicators,javascript:;
"Net financial flows, IBRD (NFL, current US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.NFL.MIBR.CD%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
OSB,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1606%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Tea,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a23913-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Rye,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a71%3bcountryCode%3a202%2c5100%2c5103%2c5104,FAOSTAT,javascript:;
Pork,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a21110-2%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
"Trade of goods, US$, HS, 50 Silk",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a51%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Peat,https://data.un.org/Data.aspx?q=africa&d=EDATA&f=cmID%3aPT%3bcrID%3a710,Energy Statistics Database,javascript:;
Bees,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1181%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Taro,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a136%3bcountryCode%3a5100%2c5101%2c5102%2c5103%2c5105,FAOSTAT,javascript:;
Yams,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a137%3bcountryCode%3a5100%2c5101%2c5102%2c5103%2c5105,FAOSTAT,javascript:;
Food,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2054%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Coke,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a33100-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Oats,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2516%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Yams,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2535%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Peas,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2547%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Tea (including mate),https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2635%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Wine,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2655%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Beer,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2656%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Rice,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a27%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Eggs,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2744%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Meat,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2943%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Eggs,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2949%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Urea,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a4001%3bcountryCode%3a202,FAOSTAT,javascript:;
Okra,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a430%3bcountryCode%3a5100%2c5101%2c5102%2c5103%2c5105,FAOSTAT,javascript:;
Wine,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a564%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104,FAOSTAT,javascript:;
Figs,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a569%3bcountryCode%3a202%2c5100%2c5102%2c5103%2c5104,FAOSTAT,javascript:;
Oats,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a75%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Goats,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1016%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Slate,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a15110-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Ducks,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1068%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Geese,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1072%3bcountryCode%3a202%2c5100%2c5101%2c5103%2c5104,FAOSTAT,javascript:;
Clays,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a15400-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Hydro,https://data.un.org/Data.aspx?q=africa&d=EDATA&f=cmID%3aEH%3bcrID%3a710,Energy Statistics Database,javascript:;
Asses,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1107%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Labor,https://data.un.org/Data.aspx?q=africa&d=IFS&f=SeriesCode%3a67%3bCountryCode%3a199,International Financial Statistics,javascript:;
Wheat,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a15%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Crops,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2041%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Beans,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2546%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Dates,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2619%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Cream,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2743%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Honey,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2745%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Rice (Milled Equivalent),https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2805%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Pears,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a521%3bcountryCode%3a202%2c5100%2c5101%2c5103%2c5104,FAOSTAT,javascript:;
Dates,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a577%3bcountryCode%3a5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Fonio,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a94%3bcountryCode%3a5100%2c5105,FAOSTAT,javascript:;
Sheep,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a976%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Output,https://data.un.org/Data.aspx?q=africa&d=UNIDO&f=tableCode%3a14%3bcountryCode%3a710,INDSTAT,javascript:;
Horses,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1096%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Camels,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1126%3bcountryCode%3a5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Trade of goods, US$, HS, 52 Cotton",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a53%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Tallow,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1225%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5104,FAOSTAT,javascript:;
Lupins,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a210%3bcountryCode%3a202%2c5100%2c5103%2c5104,FAOSTAT,javascript:;
Sugar (Raw Equivalent),https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2542%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Olives,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a260%3bcountryCode%3a5100%2c5103,FAOSTAT,javascript:;
Onions,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2602%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Pepper,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2640%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Cloves,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2642%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Pulses,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2911%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Spices,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2923%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Offals,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2945%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Barley,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a44%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Apples,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a515%3bcountryCode%3a202%2c5100%2c5101%2c5103%2c5104,FAOSTAT,javascript:;
Maize (corn),https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a56%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Grapes,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a560%3bcountryCode%3a202%2c5100%2c5101%2c5103%2c5104,FAOSTAT,javascript:;
Trucks,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a49114-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Millet,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a79%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Cattle,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a866%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Trade of goods, US$, HS, 10 Cereals",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a11%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Bagasse,https://data.un.org/Data.aspx?q=africa&d=EDATA&f=cmID%3aBS%3bcrID%3a710,Energy Statistics Database,javascript:;
Bitumen,https://data.un.org/Data.aspx?q=africa&d=EDATA&f=cmID%3aBT%3bcrID%3a710,Energy Statistics Database,javascript:;
Turkeys,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1079%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104,FAOSTAT,javascript:;
Naphtha,https://data.un.org/Data.aspx?q=africa&d=EDATA&f=cmID%3aNP%3bcrID%3a710,Energy Statistics Database,javascript:;
Beeswax,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1183%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Uranium,https://data.un.org/Data.aspx?q=africa&d=EDATA&f=cmID%3aUR%3bcrID%3a710,Energy Statistics Database,javascript:;
Plywood,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1640%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
MDF/HDF,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1648%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Cheese (All Kinds),https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1745%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Plywood,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a31400-1%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Vetches,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a205%3bcountryCode%3a5100%2c5101%2c5103,FAOSTAT,javascript:;
Olives (including preserved),https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2563%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Bananas,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2615%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Pimento,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2641%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Pigmeat,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a2733%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Linseed,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a333%3bcountryCode%3a5100%2c5101%2c5103,FAOSTAT,javascript:;
Spinach,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a373%3bcountryCode%3a5100%2c5101%2c5102%2c5103%2c5104,FAOSTAT,javascript:;
Bananas,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a486%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Oranges,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a490%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Quinces,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a523%3bcountryCode%3a202%2c5100%2c5101%2c5103%2c5104,FAOSTAT,javascript:;
Papayas,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a600%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Pepper (Piper spp.), raw",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a687%3bcountryCode%3a5100%2c5101%2c5102%2c5104%2c5105,FAOSTAT,javascript:;
Tankers,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a49312-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
"Cloves (whole stems), raw",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a698%3bcountryCode%3a5100%2c5101,FAOSTAT,javascript:;
Sorghum,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a83%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Yoghurt,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a891%3bcountryCode%3a5100%2c5101%2c5103%2c5105,FAOSTAT,javascript:;
Buffalo,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a946%3bcountryCode%3a5100%2c5101%2c5103,FAOSTAT,javascript:;
Sunshine,https://data.un.org/Data.aspx?q=africa&d=CLINO&f=ElementCode%3a15%3bCountryCode%3aUA+,World Meteorological Organization Standard Normals,javascript:;
Charcoal,https://data.un.org/Data.aspx?q=africa&d=EDATA&f=cmID%3aCH%3bcrID%3a710,Energy Statistics Database,javascript:;
Chickens,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1057%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Fuelwood,https://data.un.org/Data.aspx?q=africa&d=EDATA&f=cmID%3aFW%3bcrID%3a710,Energy Statistics Database,javascript:;
Gas Coke,https://data.un.org/Data.aspx?q=africa&d=EDATA&f=cmID%3aGK%3bcrID%3a710,Energy Statistics Database,javascript:;
Asbestos,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a16390-3%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Fluorspar,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a16190-1%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Magnesite,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a16390-1%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Raw silk (not thrown),https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1186%3bcountryCode%3a5100%2c5101%2c5103,FAOSTAT,javascript:;
Raw sugar,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a23510-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Bed linen,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a27120-1%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Newsprint,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1671%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Roundwood,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1861%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Wood fuel,https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1864%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Peas, dry",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a187%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
