data_name,data_link,data_source,data_source_link,data_description,dataset_date_sourced,data_file
"Africa Climate Data
Updated August 7, 2024 | Created August 7, 2024
OpenUp",https://open.africa/dataset/africa-climate-data,OpenUp,https://open.africa/organization/openup?sort=metadata_modified+desc,This dataset has no description,"Updated August 7, 2024 | Created August 7, 2024",https://open.africa/dataset/africa-climate-data
"sensors.AFRICA Air Quality Archive Meru
Updated March 19, 2024 | Created November 21, 2023
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-meru,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created November 21, 2023",https://open.africa/dataset/sensorsafrica-airquality-archive-meru
"sensors.AFRICA Air Quality Archive Lagos
Updated March 19, 2024 | Created January 28, 2021
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-lagos,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created January 28, 2021",https://open.africa/dataset/sensorsafrica-airquality-archive-lagos
"sensors.AFRICA Air Quality Archive Kumasi
Updated March 19, 2024 | Created January 26, 2021
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-kumasi,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created January 26, 2021",https://open.africa/dataset/sensorsafrica-airquality-archive-kumasi
"sensors.AFRICA Air Quality Archive Kisumu
Updated March 19, 2024 | Created February 15, 2019
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-kisumu,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created February 15, 2019",https://open.africa/dataset/sensorsafrica-airquality-archive-kisumu
"sensors.AFRICA Air Quality Archive Kampala
Updated March 19, 2024 | Created February 14, 2019
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-kampala,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created February 14, 2019",https://open.africa/dataset/sensorsafrica-airquality-archive-kampala
"sensors.AFRICA Air Quality Archive Juja
Updated March 19, 2024 | Created February 14, 2019
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-juja,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created February 14, 2019",https://open.africa/dataset/sensorsafrica-airquality-archive-juja
"sensors.AFRICA Air Quality Archive Durban
Updated March 19, 2024 | Created February 14, 2019
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-durban,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created February 14, 2019",https://open.africa/dataset/sensorsafrica-airquality-archive-durban
"sensors.AFRICA Air Quality Archive Dodoma
Updated March 19, 2024 | Created February 15, 2019
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-dodoma,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created February 15, 2019",https://open.africa/dataset/sensorsafrica-airquality-archive-dodoma
"sensors.AFRICA Air Quality Archive Dar es Salaam
Updated March 19, 2024 | Created February 14, 2019
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-dar-es-salaam,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created February 14, 2019",https://open.africa/dataset/sensorsafrica-airquality-archive-dar-es-salaam
"sensors.AFRICA Air Quality Archive Bagamoyo
Updated March 19, 2024 | Created April 8, 2019
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-bagamoyo,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created April 8, 2019",https://open.africa/dataset/sensorsafrica-airquality-archive-bagamoyo
"sensors.AFRICA Air Quality Archive Accra
Updated March 19, 2024 | Created January 28, 2021
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-accra,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created January 28, 2021",https://open.africa/dataset/sensorsafrica-airquality-archive-accra
"Global Malaria National Unit Statistics
Updated February 20, 2024 | Created February 20, 2024
Code for Africa",https://open.africa/dataset/global-malaria-national-unit-statistics,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,"Data showing Malaria Mortality Rate, Incidence Rate, and Infection Prevalence.","Updated February 20, 2024 | Created February 20, 2024",https://open.africa/dataset/global-malaria-national-unit-statistics
"Attack of Nation Media
Updated February 16, 2024 | Created February 16, 2024
Africa Uncensored",https://open.africa/dataset/attack-of-nation-media,Africa Uncensored,https://open.africa/organization/africa-uncensored?sort=metadata_modified+desc,X posts targeting Nation Media amplified by the hashtag #TaifaLeoFakeNews,"Updated February 16, 2024 | Created February 16, 2024",https://open.africa/dataset/attack-of-nation-media
"Recensement Général de la Population et de l'Habitat Maroc 2014
Updated February 5, 2024 | Created February 5, 2024
TAFRA",https://open.africa/dataset/recensement-general-de-la-population-et-de-l-habitat-maroc-2014,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données relatives au recensement 2014 au Maroc. Les données ont été collectée du site du Haut-Commissariat au Plan. Data relating to the 2014 census in Morocco. The data was...,"Updated February 5, 2024 | Created February 5, 2024",https://open.africa/dataset/recensement-general-de-la-population-et-de-l-habitat-maroc-2014
"Indice de Pauvreté Multidimensionnelle Maroc 2004 et 2014
Updated February 5, 2024 | Created February 5, 2024
TAFRA",https://open.africa/dataset/indice-de-pauvrete-multidimensionnelle-maroc-2004-et-2014,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,"Données relatives à l’Indice de Pauvreté Multidimensionnelle 2004, 2014. Les données ont été collectées du site du Haut-Commissariat au Plan. Les données de l'année 2004 sont...","Updated February 5, 2024 | Created February 5, 2024",https://open.africa/dataset/indice-de-pauvrete-multidimensionnelle-maroc-2004-et-2014
"Indice Composite de Développement Local Maroc 2014
Updated February 5, 2024 | Created February 5, 2024
TAFRA",https://open.africa/dataset/indice-composite-de-developpement-local-maroc-2014,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données relatives à l’Indice Composite de Développement local 2014. Les données ont été collectées du site web de l’Observatoire National du Développement Humain...,"Updated February 5, 2024 | Created February 5, 2024",https://open.africa/dataset/indice-composite-de-developpement-local-maroc-2014
"SMIIG Data régions Maroc 2023
Updated February 5, 2024 | Created January 25, 2024
TAFRA",https://open.africa/dataset/smiig-data-regions-2023,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données sur la mise en œuvre du droit d’accès à l’information par les régions au Maroc en 2023. Data on the implementation of the right to access to information by regions in...,"Updated February 5, 2024 | Created January 25, 2024",https://open.africa/dataset/smiig-data-regions-2023
"SMIIG Data provinces et préfectures Maroc 2023
Updated February 5, 2024 | Created January 25, 2024
TAFRA",https://open.africa/dataset/smiig-data-provinces-et-prefectures-2023,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données sur la mise en œuvre du droit d’accès à l’information par les provinces et les préfectures au Maroc en 2023. Data on the implementation of the right of access to...,"Updated February 5, 2024 | Created January 25, 2024",https://open.africa/dataset/smiig-data-provinces-et-prefectures-2023
"Composition des conseils régionaux Maroc 2021
Updated February 5, 2024 | Created February 5, 2024
TAFRA",https://open.africa/dataset/composition-des-conseils-regionaux-2021,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Donnes sur les membres des conseils régionaux issus des élections régionales de 2021. Les données ont été collectées à partir du site web http://www.elections.ma. Data on...,"Updated February 5, 2024 | Created February 5, 2024",https://open.africa/dataset/composition-des-conseils-regionaux-2021
"Composition des conseils communaux Maroc 2015
Updated February 5, 2024 | Created February 5, 2024
TAFRA",https://open.africa/dataset/composition-des-conseils-communaux-2015-maroc,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Donnes sur les membres des conseils communaux issus des élections communales de 2015. Les données ont été collectées à partir du site web http://www.elections.ma. Data on...,"Updated February 5, 2024 | Created February 5, 2024",https://open.africa/dataset/composition-des-conseils-communaux-2015-maroc
"Composition des conseils communaux Maroc 2021
Updated February 5, 2024 | Created February 5, 2024
TAFRA",https://open.africa/dataset/composition-des-conseils-communaux-2021,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Donnes sur les membres des conseils communaux issus des élections communales de 2021. Les données ont été collectées à partir du site web http://www.elections.ma. Data on...,"Updated February 5, 2024 | Created February 5, 2024",https://open.africa/dataset/composition-des-conseils-communaux-2021
"Composition des conseils régionaux Maroc 2015
Updated February 5, 2024 | Created February 5, 2024
TAFRA",https://open.africa/dataset/composition-des-conseils-regionaux-2015,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Donnes sur les membres des conseils régionaux issus des élections régionales de 2015. Les données ont été collectées à partir du site web http://www.elections.ma. Data on...,"Updated February 5, 2024 | Created February 5, 2024",https://open.africa/dataset/composition-des-conseils-regionaux-2015
"SMIIG Data communes Maroc 2023
Updated February 5, 2024 | Created January 25, 2024
TAFRA",https://open.africa/dataset/smiig-data-communes-2023,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données sur la mise en œuvre du droit d’accès à l’information par les communes de plus de 50 000 habitants au Maroc de 2020 à 2023. Data on the implementation of the right to...,"Updated February 5, 2024 | Created January 25, 2024",https://open.africa/dataset/smiig-data-communes-2023
"Elections communales par circonscription Maroc 2021
Updated February 5, 2024 | Created February 5, 2024
TAFRA",https://open.africa/dataset/elections-communales-par-circonscription-maroc-2021,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données sur les résultats des élections communales 2021 par circonscription au Maroc. Les données ont été collectées à partir du site web http://www.elections.ma. La source ne...,"Updated February 5, 2024 | Created February 5, 2024",https://open.africa/dataset/elections-communales-par-circonscription-maroc-2021
"Elections communales par circonscription Maroc 2015
Updated February 5, 2024 | Created February 5, 2024
TAFRA",https://open.africa/dataset/elections-communales-par-circonscription-maroc-2015,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données sur les résultats des élections communales 2015 par circonscription au Maroc. Les données ont été collectées à partir du site web http://www.elections.ma. La source ne...,"Updated February 5, 2024 | Created February 5, 2024",https://open.africa/dataset/elections-communales-par-circonscription-maroc-2015
"Elections communales Maroc 2021
Updated February 5, 2024 | Created February 5, 2024
TAFRA",https://open.africa/dataset/elections-communales-maroc-2021,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données sur les résultats des élections communales 2021 au Maroc. Les données ont été collectées à partir du site web http://www.elections.ma. La source ne reporte pas le taux...,"Updated February 5, 2024 | Created February 5, 2024",https://open.africa/dataset/elections-communales-maroc-2021
"Elections communales Maroc 2015
Updated February 5, 2024 | Created February 5, 2024
TAFRA",https://open.africa/dataset/elections-communales-maroc-2015,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données sur les résultats des élections communales 2015 au Maroc. Les données ont été collectées à partir du site web http://www.elections.ma. La source ne reporte pas le taux...,"Updated February 5, 2024 | Created February 5, 2024",https://open.africa/dataset/elections-communales-maroc-2015
"Membres de la Chambre des Représentants du Maroc
Updated February 5, 2024 | Created February 5, 2024
TAFRA",https://open.africa/dataset/membres-de-la-chambre-des-representants-du-maroc-2007-2011-2016-2021,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,"Données sur les membres de la Chambre des représentant du Royaume du Maroc au titre des législatures 2007-2011, 2011-2016, 2016-2021 et 2021-2026. Les données ont été collectées...","Updated February 5, 2024 | Created February 5, 2024",https://open.africa/dataset/membres-de-la-chambre-des-representants-du-maroc-2007-2011-2016-2021
"Composition du gouvernement du Maroc 2011-2023
Updated February 5, 2024 | Created February 5, 2024
TAFRA",https://open.africa/dataset/composition-du-gouvernement-du-maroc-2011-2023,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données sur les membres du gouvernement du Royaume du Maroc de 2011 à août 2023. Les données ont été collectées à partir des bulletins officiels publiés sur le site web du...,"Updated February 5, 2024 | Created February 5, 2024",https://open.africa/dataset/composition-du-gouvernement-du-maroc-2011-2023
"Elections législatives Maroc 2007
Updated February 5, 2024 | Created November 29, 2023
TAFRA",https://open.africa/dataset/elections-legislatives-maroc-2007,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données sur la participation et la distribution des votes pour les élections législatives marocaines de 2007. Copie archivée de http://www.elections2007.gov.ma Data on turnout...,"Updated February 5, 2024 | Created November 29, 2023",https://open.africa/dataset/elections-legislatives-maroc-2007
"Elections législatives Maroc 2011
Updated February 5, 2024 | Created November 29, 2023
TAFRA",https://open.africa/dataset/elections-legislatives-maroc-2011,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données sur la participation et la distribution des votes pour les élections législatives marocaines de 2011. Les données ont été partagées par Olivier Deau (Ecole de...,"Updated February 5, 2024 | Created November 29, 2023",https://open.africa/dataset/elections-legislatives-maroc-2011
"Elections législatives Maroc 2002
Updated February 5, 2024 | Created November 29, 2023
TAFRA",https://open.africa/dataset/elections-legislatives-maroc-2002,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données sur la participation et la distribution des votes pour les élections législatives marocaines de 2002. Les résultats ont pour source primaire les journaux du Matin du...,"Updated February 5, 2024 | Created November 29, 2023",https://open.africa/dataset/elections-legislatives-maroc-2002
"Questions parlementaires Maroc 2011 et 2016
Updated February 5, 2024 | Created November 29, 2023
TAFRA",https://open.africa/dataset/questions-parlementaires-maroc-2011-et-2016,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données sur les questions parlementaires posées lors des législatures 2011-2016 et 2016-2021. Les données ont été collectées de http://chambredesrepresentants.ma Data on...,"Updated February 5, 2024 | Created November 29, 2023",https://open.africa/dataset/questions-parlementaires-maroc-2011-et-2016
"Elections législatives Maroc 2016
Updated February 5, 2024 | Created November 29, 2023
TAFRA",https://open.africa/dataset/elections-legislatives-maroc-2016,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données sur la participation et la distribution des votes pour les élections législatives marocaines de 2016. Les résultats des listes locales ont été copiés de...,"Updated February 5, 2024 | Created November 29, 2023",https://open.africa/dataset/elections-legislatives-maroc-2016
"Elections régionales Maroc 2015
Updated February 5, 2024 | Created November 29, 2023
TAFRA",https://open.africa/dataset/elections-regionales-maroc-2015,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,Données sur la participation et la distribution des votes pour les élections régionales marocaines de 2015. Les résultats ont été copiés de http://www.elections.ma. Les sources...,"Updated February 5, 2024 | Created November 29, 2023",https://open.africa/dataset/elections-regionales-maroc-2015
"Government AI Readiness Index 2023
Updated January 22, 2024 | Created January 22, 2024
Oxford Insights",https://open.africa/dataset/government-ai-readiness-index-2023,Oxford Insights,https://open.africa/organization/oxford-insights?sort=metadata_modified+desc,Assessment of the AI readiness of 193 governments across the world.,"Updated January 22, 2024 | Created January 22, 2024",https://open.africa/dataset/government-ai-readiness-index-2023
"Engagements du gouvernement à la Chambre des Représentants Maroc 2021
Updated December 1, 2023 | Created November 20, 2023
TAFRA",https://open.africa/dataset/engagements-du-gouvernement-a-la-chambre-des-representants-maroc-2023,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,"Données sur les engagements pris par le gouvernement lors de la législature 2021-2026, jusqu'à juillet 2023. Les données ont été collectées de http://chambredesrepresentants.ma...","Updated December 1, 2023 | Created November 20, 2023",https://open.africa/dataset/engagements-du-gouvernement-a-la-chambre-des-representants-maroc-2023
"Questions parlementaires Maroc 2021
Updated December 1, 2023 | Created November 20, 2023
TAFRA",https://open.africa/dataset/questions-parlementaires-maroc-2023,TAFRA,https://open.africa/organization/tafra?sort=metadata_modified+desc,"Données sur les questions parlementaires posées lors de la législature 2021-2026, jusqu'à juillet 2023. Les données ont été collectées de http://chambredesrepresentants.ma Data...","Updated December 1, 2023 | Created November 20, 2023",https://open.africa/dataset/questions-parlementaires-maroc-2023
"Sierra Leone Development Indicators
Updated November 30, 2023 | Created March 1, 2016
Code for Africa",https://open.africa/dataset/development-indicators-sierra-leone,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,"World Development Indicators (WDI) is the primary World Bank collection of development indicators, compiled from officially recognized international sources. It presents the...","Updated November 30, 2023 | Created March 1, 2016",https://open.africa/dataset/development-indicators-sierra-leone
"Trust Fund Grants Committed & Disbursed | Sierra Leone
Updated November 30, 2023 | Created November 4, 2012
Code for Africa",https://open.africa/dataset/trust-fund-grants-committed-disbursed-sierra-leone,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,"A Recipient-executed Grant is a Trust Fund Grant that is provided to a third party under a grant agreement, and for which the Bank plays an operational role - i.e., the Bank...","Updated November 30, 2023 | Created November 4, 2012",https://open.africa/dataset/trust-fund-grants-committed-disbursed-sierra-leone
"Airports in Sierra Leone
Updated November 30, 2023 | Created June 9, 2016
Code for Africa",https://open.africa/dataset/airports-in-sierra-leone,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,A geo-coded list of airports in Sierra Leone,"Updated November 30, 2023 | Created June 9, 2016",https://open.africa/dataset/airports-in-sierra-leone
"2004 Population and Housing Census
Updated November 30, 2023 | Created February 24, 2016
Code for Africa",https://open.africa/dataset/2004-population-and-housing-census,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,Last conducted in 2004. New Census to be conducted in 2015.,"Updated November 30, 2023 | Created February 24, 2016",https://open.africa/dataset/2004-population-and-housing-census
"Ebola in Sierra Leone
Updated November 30, 2023 | Created February 24, 2016
Code for Africa",https://open.africa/dataset/ebola-in-sierra-leone,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,"A collection of datasets detailing ebola statistics in Sierra Leone, West Africa and Globally from 2014 to present day","Updated November 30, 2023 | Created February 24, 2016",https://open.africa/dataset/ebola-in-sierra-leone
"Sierra Leone Forestry Data
Updated November 30, 2023 | Created March 17, 2016
Code for Africa",https://open.africa/dataset/sierra-leone-forestry-data,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,Sierra Leone forest-related data sets and analyses,"Updated November 30, 2023 | Created March 17, 2016",https://open.africa/dataset/sierra-leone-forestry-data
"Sierra Leone Integrated Household Survey
Updated November 30, 2023 | Created April 8, 2016
Code for Africa",https://open.africa/dataset/sierra-leone-integrated-household-survey,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,This dataset has no description,"Updated November 30, 2023 | Created April 8, 2016",https://open.africa/dataset/sierra-leone-integrated-household-survey
"Sierra Leone Health
Updated November 30, 2023 | Created March 1, 2016
Code for Africa",https://open.africa/dataset/sierra-leone-health,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,The dataset represents the cholera weekly evolution by chiefdom in 2012 and was compiled from WHO data. OCHA supported WHO Sierra Leone in creating and updating cholera map in...,"Updated November 30, 2023 | Created March 1, 2016",https://open.africa/dataset/sierra-leone-health
"Sierra Leone Admin Level 4 Boundaries
Updated November 30, 2023 | Created March 1, 2016
Code for Africa",https://open.africa/dataset/sierra-leone-admin-level-4-boundaries,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,This dataset has no description,"Updated November 30, 2023 | Created March 1, 2016",https://open.africa/dataset/sierra-leone-admin-level-4-boundaries
"Annual Statistical Digests | Sierra Leone
Updated November 30, 2023 | Created February 26, 2016
Code for Africa",https://open.africa/dataset/annual-statistical-digest,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,Sierra Leone Climatic Data,"Updated November 30, 2023 | Created February 26, 2016",https://open.africa/dataset/annual-statistical-digest
"Businesses in Sierra Leone
Updated November 30, 2023 | Created February 26, 2016
Code for Africa",https://open.africa/dataset/business-in-sierra-leone,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,Census on business establishments conducted in 2005,"Updated November 30, 2023 | Created February 26, 2016",https://open.africa/dataset/business-in-sierra-leone
"Annual Survey Reports | Sierra Leone
Updated November 30, 2023 | Created February 26, 2016
Code for Africa",https://open.africa/dataset/survey-reports,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,This dataset has no description,"Updated November 30, 2023 | Created February 26, 2016",https://open.africa/dataset/survey-reports
"2003 Survey of Ex-Combatants | Sierra Leone
Updated November 30, 2023 | Created February 26, 2016
Code for Africa",https://open.africa/dataset/2003-survey-of-ex-combatants-in-sierra-leone,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,This dataset has no description,"Updated November 30, 2023 | Created February 26, 2016",https://open.africa/dataset/2003-survey-of-ex-combatants-in-sierra-leone
"Truth and Reconciliation Research Data | Sierra Leone
Updated November 30, 2023 | Created February 26, 2016
Code for Africa",https://open.africa/dataset/truth-and-reconciliation-research-data,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,"a database to capture details of the violations, victims and perpetrators described in the more than 7000 statements received by the Commission.","Updated November 30, 2023 | Created February 26, 2016",https://open.africa/dataset/truth-and-reconciliation-research-data
"Open Budget Survey 2015-Sierra Leone
Updated November 30, 2023 | Created February 29, 2016
Code for Africa",https://open.africa/dataset/open-budget-survey-2015,Code for Africa,https://open.africa/organization/code-for-africa?sort=metadata_modified+desc,Open Budget Survey uses 109 indicators to measure budget transparency. These indicators are used to assess whether the central government makes eight key budget documents...,"Updated November 30, 2023 | Created February 29, 2016",https://open.africa/dataset/open-budget-survey-2015
