data_name,data_link,source,domain
Percentage of currently married women age 15-24 for whom the age difference with her partner is <5 years,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Bodily autonomy 
Percentage of currently married women age 15-24 for whom the age difference with her partner is 10+ years,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Bodily autonomy 
Percentage of currently married women age 15-24 for whom the age difference with her partner is 5-9 years,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Bodily autonomy 
Percentage of currently married women age 15-24 for whom the man is younger than the woman,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Bodily autonomy 
Percentage of currently married women age 15-24 for whom the woman and her partner have the same age,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Bodily autonomy 
"Age-specific fertility rate per 1,000 women",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"IPUMS, WPP  ",Fertility 
Percentage women 15-49 with a live birth in a given period who had at least eight antenatal care visit,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, MIS  ",Maternal and newborn health 
Percentage women 15-49 with a live birth in a given period who had at least four antenatal care visit; Five years preceding the survey,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, MIS  ",Maternal and newborn health 
Percentage women 15-49 with a live birth in a given period who had at least four antenatal care visit; Three years preceding the survey,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, MIS  ",Maternal and newborn health 
Gender Parity Index (GPI) in percentage of population ages 25+ with university completed,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,IPUMS  ,Gender Parity Index 
Percentage women 15-49 with a live birth who had at least one antenatal care visit by a skilled health provider/birth attendant; Three years preceding the survey,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, MIS  ",Maternal and newborn health 
Percentage women 15-49 with a live birth who had at least one antenatal care visit by a skilled health provider/birth attendant; Two years preceding the survey,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, MIS  ",Maternal and newborn health 
Percentage of women who have heard about FGM and think the practice should discontinue,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,DHS  ,Female genital mutilation 
Percentage of men who have heard about FGM and think the practice should discontinue,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,DHS  ,Female genital mutilation 
"Percentage of women who think that wife beating is justified under at least one condition (burns the food, argues with him, goes out without telling him, neglects the children, and/or refuses to have sexual intercourse with him)",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Violence against women 
"Percentage of men who think that wife beating is justified under at least one condition (burns the food, argues with him, goes out without telling him, neglects the children, and/or refuses to have sexual intercourse with him)",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Violence against women 
Average age of foreign-born population,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,IPUMS  ,Migration 
Average annual rate of change of population size during a specified period,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,WPP  ,Demographic 
Average household size,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,IPUMS  ,Demographic 
Average number of children per household,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,IPUMS  ,Household structure 
Average number of persons per room,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,IPUMS  ,Household characteristics 
"Percentage of births attended by skilled health personnel (generally doctors, nurses or midwives)",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,SDG  ,Maternal and newborn health 
"Percentage of births attended by skilled health personnel (generally doctors, nurses or midwives); Five years preceding the survey",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, MIS  ",Maternal and newborn health 
"Percentage of births attended by skilled health personnel (generally doctors, nurses or midwives); Three years preceding the survey",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, MIS  ",Maternal and newborn health 
"Percentage of births attended by skilled health personnel (generally doctors, nurses or midwives); Two years preceding the survey",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, MIS  ",Maternal and newborn health 
Percentage of live births in the three/five years preceding the survey with a caesarean section decided after the onset of labor pains,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,DHS  ,Maternal and newborn health 
Percentage of live births in the three/five years preceding the survey with a caesarean section planned before onset of labor pains,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,DHS  ,Maternal and newborn health 
Child dependency ratio (age 0-14 / age 15-64),https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"IPUMS, WPP  ",Demographic 
Gender Parity Index (GPI) in percentage of population ages 25+ with university completed,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,IPUMS  ,Gender Parity Index 
Child dependency ratio (age 0-24 / age 25-64),https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"IPUMS, WPP  ",Demographic 
Child dependency ratio (age 0-24 / age 25-69),https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"IPUMS, WPP  ",Demographic 
Percentage of women aged 20 to 24 who were married or in a union before age 15,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, IPUMS, SDG  ",Child marriage 
Percentage of women aged 20 to 24 who were married or in a union before age 18,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, IPUMS, SDG  ",Child marriage 
"Ratio of males 0 to 6 years olds to females 0 to 6 years olds, normalized to 100",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,IPUMS  ,Demographic 
Percentage of de jure children age 10-14 living with both parents,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Living arrangement 
Percentage of de jure children age 10-14 living with their biological father only,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Living arrangement 
"Percentage of de jure children age 10-14 living with father, mother alive",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Living arrangement 
"Percentage of de jure children age 10-14 living with father, mother dead",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Living arrangement 
Percentage of de jure children age 10-14 living with their biological mother only,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Living arrangement 
"Percentage of de jure children age 10-14 living with mother, father alive",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Living arrangement 
"Percentage of de jure children age 10-14 living with mother, father dead",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Living arrangement 
"Percentage of de jure children age 10-14 living with neither parent, both alive",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Living arrangement 
"Percentage of de jure children age 10-14 living with neither parent, both dead",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Living arrangement 
"Percentage of de jure children age 10-14 living with neither parent, father alive",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Living arrangement 
"Percentage of de jure children age 10-14 living with neither parent, mother alive",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Living arrangement 
Percentage of de jure children age 10-14 not living with a biological parent,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Living arrangement 
Percentage of de jure children age 10-14 with missing information on whether their father and/or mother is alive,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Living arrangement 
Gender Parity Index (GPI) in percentage of population ages 25+ with university completed,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,IPUMS  ,Gender Parity Index 
Proportion of countries that have achieved 75% death registration,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,SDG  ,Statistical Capacity 
Percentage of men aged 15 to 24 that has a comprehensive correct knowledge of Human immunodeficiency virus/Acquired immunodeficiency syndrome (HIV/AIDS),https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",HIV/AIDS and STIs 
Percentage of women aged 15 to 24 that has a comprehensive correct knowledge of Human immunodeficiency virus/Acquired immunodeficiency syndrome (HIV/AIDS),https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",HIV/AIDS and STIs 
Percentage of women aged 15-49 who had more than one partner in the past 12 months reporting the use of a condom during their last sexual intercourse.,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",HIV/AIDS and STIs 
Percentage of men aged 15-49 who had more than one partner in the past 12 months reporting the use of a condom during their last sexual intercourse.,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",HIV/AIDS and STIs 
"Percentage of women aged 15 to 49 who are currently using, or whose sexual partner is using, at least one method of contraception, regardless of the method used",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, MIS  ",Contraceptive use 
"Percentage of currently married or in union women aged 15 to 49 who are currently using, or whose sexual partner is using, at least one method of contraception, regardless of the method used",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Contraceptive use 
"Percentage of all women aged 15 to 49 who are currently using, or whose sexual partner is using, at least one modern method of contraception, regardless of the modern method used",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, MIS  ",Contraceptive use 
"Percentage of currently married or in union women aged 15 to 49 who are currently using, or whose sexual partner is using, at least one modern method of contraception, regardless of the modern method used",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Contraceptive use 
"Percentage of sexually active unmarried women aged 15 to 49 who are currently using, or whose sexual partner is using, at least one modern method of contraception, regardless of the modern method used",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, MIS  ",Contraceptive use 
"Percentage of all women aged 15 to 24 who are currently using, or whose sexual partner is using, at least one modern method of contraception, regardless of the modern method used",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, MIS  ",Contraceptive use 
"Percentage of women aged 15 to 49 who are currently using, or whose sexual partner is using, at least one method of contraception, regardless of the method used",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, MIS  ",Contraceptive use 
"Percentage of all women aged 15 to 24 who are currently using, or whose sexual partner is using, at least one method of contraception, regardless of the method used",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, MIS  ",Contraceptive use 
"Crude birth rate for the three years preceding the survey expressed per 1,000 population",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS, MIS  ",Fertility 
Percentage of women aged 15 to 49 married or in union who make their decision on sexual relations,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"DHS, SDG  ",Bodily autonomy 
Percentage of women aged 15 to 49 married or in union who make their decision on contraceptive use,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"DHS, SDG  ",Bodily autonomy 
Percentage of women aged 15 to 49 married or in union who make their decision on own health care,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"DHS, SDG  ",Bodily autonomy 
"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"DHS, SDG  ",Bodily autonomy 
Gender Parity Index (GPI) in percentage of population ages 25+ with university completed,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,IPUMS  ,Gender Parity Index 
Proportion of currently married or in union women aged 15 to 49 who have their need for family planning satisfied with modern methods,https://pdp.unfpa.org/?data_id=dataSource_8-3%3A6%2B7%2B8%2CdataSource_8-2%3A7%2B6%2B1%2B4%2B5%2B2%2B3%2B8%2B32%2B31%2B26%2B28%2CdataSource_8-0%3A386&page=Indicator-Overview,"AIS, DHS  ",Demand satisfied 
